Nome_do_bairro,Cod_setor,TOTAL_FAIXA_ETARIA,ABAIXO1ANO,1A9ANOS,10A19ANOS,20A29ANOS,30A39ANOS,40A49ANOS,50A59ANOS,ACIMA60ANOS,Cod_setor,ATEMEIOSALARIO,DEMEIOA1SALARIO,DE1A2SALARIOS,DE2A3SALARIOS,DE3A5SALARIOS,DE5A10SALARIOS,DE10A15SALARIOS,DE15A20SALARIOS,MAISDE20SALARIOS,SEMSALARIO,TOTAL_SALARIOS,PRACAS,PARQUES,EMPRESAS OUTROS GROUPOS,EMPRESAS PEQUENO PORTE
Garças,621240011360199,966,7,133,168,149,119,189,114,87,621240011360199,6,78,101,55,81,127,33,30,38,277,966,1.0,1.0,21.0,8.0
Glória,7144260129956329,14627,141,1315,2049,2560,2145,2315,1824,2278,7144260129956329,175,2878,3446,1288,1026,551,76,45,17,3669,14627,1.0,0.0,143.0,98.0
Goiania,7454881455362917,16229,198,2045,2597,2984,3005,2185,1514,1701,7454881455362917,236,3631,3572,1048,620,342,30,18,13,4476,16229,6.0,1.0,98.0,49.0
Grajaú,3106200056703489,6279,58,521,635,1122,995,991,848,1109,3106200056703489,19,356,637,473,741,1112,348,320,242,1452,6279,5.0,0.0,313.0,56.0
Granja Werneck,2484960485281682,2068,34,375,367,358,330,235,143,169,2484960485281682,25,436,365,68,29,9,1,2,1,666,2068,0.0,0.0,5.0,1.0
Granja de Freitas,931860016890888,3602,57,565,901,577,542,462,260,238,931860016890888,140,1005,500,98,27,12,1,0,0,1197,3602,0.0,0.0,17.0,0.0
Graça,3106200056401456,4792,50,349,517,858,814,674,661,869,3106200056401456,24,413,672,438,559,671,168,107,53,1288,4792,1.0,0.0,168.0,43.0
Grota,310620005630322,195,6,21,36,40,28,19,23,22,310620005630322,9,37,57,8,7,4,0,0,0,46,195,0.0,0.0,0.0,0.0
Grotinha,310620060640134,447,12,76,96,102,58,45,36,22,310620060640134,6,47,41,4,4,1,0,0,0,256,447,0.0,0.0,0.0,0.0
Guarani,3416820667261384,7718,67,762,1214,1397,1281,1251,905,841,3416820667261384,76,1221,1664,744,622,376,52,24,10,2100,7718,2.0,0.0,61.0,39.0
Guaratã,621240011340567,766,5,74,138,151,105,118,88,87,621240011340567,11,165,160,48,42,15,4,1,0,241,766,1.0,0.0,2.0,2.0
Gutierrez,7454880136087567,17507,116,1155,1940,3178,2410,2534,2728,3446,7454880136087567,47,834,1433,1101,1894,3175,1016,1117,1187,4432,17507,2.0,0.0,1247.0,271.0
Havaí,7765500141754626,15251,157,1673,2150,3013,2950,2159,1735,1414,7765500141754626,129,2095,3152,1464,1377,1117,168,100,80,3739,15251,4.0,3.0,198.0,44.0
Heliopolis,2795580545941278,6675,118,816,941,1281,1459,1048,595,417,2795580545941278,37,623,1262,721,714,575,84,39,32,1654,6675,2.0,0.0,119.0,28.0
