Nome_do_bairro,Cod_setor,TOTAL_FAIXA_ETARIA,ABAIXO1ANO,1A9ANOS,10A19ANOS,20A29ANOS,30A39ANOS,40A49ANOS,50A59ANOS,ACIMA60ANOS,Cod_setor,ATEMEIOSALARIO,DEMEIOA1SALARIO,DE1A2SALARIOS,DE2A3SALARIOS,DE3A5SALARIOS,DE5A10SALARIOS,DE10A15SALARIOS,DE15A20SALARIOS,MAISDE20SALARIOS,SEMSALARIO,TOTAL_SALARIOS,PRACAS,PARQUES,EMPRESAS OUTROS GROUPOS,EMPRESAS PEQUENO PORTE
Sion,9629220174228812,19700,136,1407,2025,3487,2785,2857,3006,3997,9629220174228812,33,730,1398,1053,1982,3756,1259,1701,1678,4567,19700,13.0,2.0,1163.0,212.0
Solar do Barreiro,1863720153661472,4385,76,533,646,1128,919,564,308,211,1863720153661472,41,875,1235,394,171,30,0,0,1,1029,4385,1.0,0.0,16.0,5.0
Solimoes,621240121320253,1519,19,187,308,290,296,206,109,104,621240121320253,24,353,302,79,40,16,2,1,1,495,1519,0.0,0.0,5.0,1.0
Sport Club,931860017010931,1071,14,119,222,199,160,153,105,99,931860017010931,23,297,230,64,20,3,0,0,0,301,1071,0.0,0.0,0.0,0.0
Suzana,1553100028401007,1986,23,243,342,375,315,285,206,197,1553100028401007,41,433,434,133,77,26,3,1,0,572,1986,1.0,0.0,15.0,3.0
São Benedito,931860181920270,1597,30,232,339,287,255,191,133,130,931860181920270,73,433,307,32,13,1,1,0,0,475,1597,0.0,0.0,2.0,0.0
São Bento,2484960044962962,3688,14,228,393,705,453,499,600,766,2484960044962962,2,131,305,155,271,565,207,357,458,965,3688,14.0,2.0,214.0,78.0
São Bernardo,4038060788581962,9092,107,967,1564,1657,1414,1374,989,1020,4038060788581962,166,2138,1976,604,371,209,19,8,9,2518,9092,1.0,0.0,53.0,34.0
São Cristóvão,2174340039522047,2981,20,230,334,461,401,426,402,707,2174340039522047,36,518,699,362,295,181,31,14,3,592,2981,2.0,0.0,47.0,18.0
São Damião,310620060660297,320,6,48,65,51,52,50,28,20,310620060660297,8,83,57,16,13,0,0,0,0,89,320,0.0,0.0,0.0,0.0
São Francisco,3106200056801289,4389,56,427,570,872,819,592,462,483,3106200056801289,43,744,904,448,383,245,34,17,7,973,4389,1.0,0.0,274.0,171.0
São Francisco das Chagas,310620005650394,1346,22,247,246,310,207,109,126,79,310620005650394,6,357,248,47,3,1,0,0,0,415,1346,0.0,0.0,1.0,0.0
São Gabriel,5901781152162074,13726,137,1461,2090,2630,2278,1924,1573,1633,5901781152162074,172,2624,3001,1066,798,472,60,22,10,3903,13726,7.0,1.0,108.0,27.0
São Geraldo,6523020118233567,13974,125,1453,2096,2477,2058,2073,1691,2001,6523020118233567,160,3018,3023,1057,763,473,70,39,37,3756,13974,3.0,0.0,66.0,27.0
São Gonçalo,1242480242640510,2598,31,289,460,434,388,419,245,332,1242480242640510,56,622,552,143,105,53,13,2,0,732,2598,2.0,1.0,8.0,4.0
São Jorge 1ª Seção,1553100028351668,1723,19,221,309,275,306,225,179,189,1553100028351668,43,522,393,65,29,13,2,0,0,416,1723,0.0,0.0,3.0,1.0
São Jorge 2ª Seção,2174340039692373,2710,36,392,518,528,469,282,224,261,2174340039692373,36,808,493,77,27,12,0,0,0,829,2710,1.0,0.0,4.0,0.0
São Jorge 3ª Seção,2174340039692185,2851,34,427,602,547,488,320,243,190,2174340039692185,49,869,518,60,38,13,1,0,0,842,2851,0.0,1.0,2.0,0.0
São José,931860017040201,1522,12,110,157,288,211,219,188,337,931860017040201,3,74,136,86,131,209,67,76,77,541,1522,0.0,0.0,258.0,86.0
São João,621240051220235,1686,32,317,361,324,292,222,88,50,621240051220235,63,316,425,55,12,6,0,1,0,459,1686,0.0,0.0,0.0,0.0
São João Batista,7454881456565675,16503,169,1614,2358,3082,3147,2577,1830,1726,7454881456565675,127,2126,3408,1700,1556,1078,151,81,49,4444,16503,12.0,0.0,224.0,79.0
São Lucas,1242480022480529,2987,21,176,333,542,422,435,400,658,1242480022480529,10,259,333,271,368,540,139,127,78,665,2987,0.0,0.0,169.0,44.0
São Luiz,2795580051120870,4762,38,359,542,881,676,715,632,919,2795580051120870,14,303,478,267,447,808,225,232,286,1305,4762,5.0,0.0,275.0,123.0
São Marcos,3416820667041884,6925,95,729,1149,1270,1093,1035,807,747,3416820667041884,124,1610,1608,472,299,185,14,9,3,1777,6925,1.0,0.0,16.0,5.0
São Paulo,1863720088840937,3750,40,309,511,655,588,526,474,647,1863720088840937,65,740,937,325,241,145,26,21,7,894,3750,3.0,0.0,30.0,7.0
São Pedro,3416820061822830,6328,43,365,726,1256,894,912,915,1217,3416820061822830,14,269,539,430,718,1252,374,473,369,1482,6328,5.0,0.0,685.0,234.0
São Salvador,2484960045202339,5839,66,646,882,1064,933,888,665,695,2484960045202339,83,1232,1396,456,338,159,22,14,8,1419,5839,1.0,0.0,39.0,15.0
São Sebastião,310620005640130,356,6,57,75,54,62,40,36,26,310620005640130,10,101,72,5,3,0,0,0,0,102,356,0.0,0.0,0.0,0.0
São Tomaz,4348680849282264,7415,95,1029,1454,1330,1183,995,634,695,4348680849282264,233,1883,1571,314,169,56,4,6,3,2052,7415,1.0,0.0,20.0,7.0
São Vicente,310620005630187,505,10,63,112,110,71,62,44,33,310620005630187,22,149,93,15,3,2,0,0,0,148,505,0.0,0.0,0.0,0.0
Taquaril,1242480022521072,3389,52,475,689,635,540,402,318,278,1242480022521072,50,877,598,156,91,32,2,1,0,1055,3389,0.0,0.0,23.0,3.0
Teixeira Dias,4348680358543191,7050,56,603,956,1341,1094,1026,989,985,4348680358543191,37,941,1480,853,622,393,43,22,17,1983,7050,0.0,1.0,71.0,22.0
Tiradentes,621240011280209,1661,18,252,353,302,243,194,150,149,621240011280209,34,335,432,45,12,7,0,1,0,525,1661,0.0,0.0,2.0,0.0
Tirol,4038060332932431,11372,128,1300,1701,2041,2023,1769,1218,1192,4038060332932431,99,1369,2421,1163,958,577,52,31,19,3255,11372,4.0,1.0,115.0,51.0
Tres Marias,310620060640030,587,10,85,111,112,97,68,58,46,310620060640030,10,125,96,9,3,0,0,0,0,249,587,1.0,0.0,1.0,0.0
Trevo,1553100028400768,4311,62,652,863,717,794,619,339,265,1553100028400768,110,765,682,235,205,195,21,35,25,1324,4311,5.0,1.0,54.0,10.0
Tupi A,5280541031222322,10668,130,1258,1729,1967,1814,1520,1009,1241,5280541031222322,206,2509,2468,761,403,171,16,12,4,2730,10668,1.0,0.0,31.0,13.0
Tupi B,5901781152543172,13527,157,1650,2277,2487,2404,1909,1273,1370,5901781152543172,206,2898,3118,969,561,237,17,12,5,3697,13527,0.0,0.0,53.0,19.0
Túnel de Ibirité,931860076830968,1894,11,206,272,285,307,295,232,286,931860076830968,25,267,433,189,141,87,9,2,1,523,1894,0.0,0.0,2.0,2.0
Unidas,621240121370425,367,8,56,76,88,64,33,30,12,621240121370425,7,80,86,9,7,1,0,0,0,113,367,0.0,0.0,0.0,0.0
Universitário,1242480022720570,1995,19,145,288,386,311,287,252,307,1242480022720570,20,397,522,172,117,70,12,3,4,514,1995,0.0,0.0,22.0,11.0
Universo,2484960485512320,2833,45,487,594,576,445,283,242,161,2484960485512320,83,667,470,84,28,3,0,0,1,965,2833,1.0,0.0,1.0,0.0
União,5901780107162616,14729,135,1359,2087,2736,2265,2206,1951,1990,5901780107162616,170,2413,2559,1078,1162,1285,343,234,200,3791,14729,3.0,1.0,507.0,201.0
Urca,2174340039761348,4685,60,563,864,848,790,625,414,521,2174340039761348,97,1138,1048,192,93,40,10,1,2,1441,4685,0.0,0.0,18.0,6.0
Vale do Jatoba,3727440307322222,8047,81,887,1354,1255,1310,1241,810,1109,3727440307322222,111,1571,1723,581,378,189,9,3,2,2512,8047,15.0,0.0,40.0,12.0
Varzea da Palma,310620060690077,125,5,16,20,31,21,15,11,6,310620060690077,1,22,31,6,5,0,0,0,0,39,125,0.0,0.0,0.0,0.0
Venda Nova,2484960485521941,2684,30,221,360,531,485,355,336,366,2484960485521941,16,482,709,224,159,78,3,3,1,758,2684,4.0,0.0,188.0,105.0
Ventosa,5591160102063899,7055,135,1147,1440,1350,1106,771,565,541,5591160102063899,165,2126,1139,182,62,32,13,5,9,2040,7055,1.0,0.0,5.0,1.0
Vera Cruz,2174340039410559,3862,26,376,531,668,581,581,499,600,2174340039410559,51,778,804,295,266,166,27,18,16,1039,3862,4.0,0.0,43.0,13.0
Vila Aeroporto,931860072020579,2092,28,302,395,434,348,273,166,146,931860072020579,21,585,388,72,13,6,0,1,1,675,2092,0.0,0.0,0.0,0.0
Vila Aeroporto Jaraguá,310620005680045,618,5,87,113,123,96,85,48,61,310620005680045,19,186,121,14,11,3,1,0,0,171,618,0.0,0.0,1.0,0.0
Vila Antena,1242480022681238,1600,30,275,316,311,260,164,114,130,1242480022681238,38,433,299,35,16,4,0,0,0,470,1600,0.0,0.0,4.0,1.0
Vila Antena Montanhês,310620005650308,448,6,80,69,100,80,42,46,25,310620005650308,15,127,85,10,13,3,0,0,0,109,448,0.0,0.0,3.0,0.0
Vila Atila de Paiva,621240051220343,1582,25,228,335,296,226,196,149,127,621240051220343,29,364,287,45,9,1,0,0,0,594,1582,0.0,0.0,1.0,0.0
Vila Bandeirantes,621240011240953,562,7,87,113,116,91,65,50,33,621240011240953,11,156,130,18,6,2,0,0,0,145,562,0.0,0.0,1.0,0.0
Vila Barragem Santa Lúcia,3416820061823270,7999,133,1339,1695,1657,1237,897,548,493,3416820061823270,180,2231,1357,184,115,103,32,49,31,2245,7999,0.0,0.0,14.0,1.0
Vila Batik,310620025610311,192,3,25,71,25,40,20,5,3,310620025610311,8,36,19,1,0,0,0,0,0,100,192,0.0,0.0,0.0,0.0
Vila Betânia,621240011340754,195,0,0,0,0,0,0,0,0,621240011340754,0,0,0,0,0,0,0,0,0,0,195,0.0,0.0,0.0,0.0
Vila Boa Vista,621240011260325,958,9,116,207,158,158,127,101,82,621240011260325,39,285,175,35,15,4,1,1,1,277,958,0.0,0.0,1.0,0.0
Vila Calafate,310620005670471,529,11,90,124,98,78,50,47,31,310620005670471,21,143,89,12,8,0,2,0,0,153,529,0.0,0.0,0.0,0.0
Vila Califórnia,1553100028251065,3100,52,505,676,591,507,355,235,179,1553100028251065,150,827,609,85,24,6,0,0,0,842,3100,0.0,0.0,0.0,0.0
Vila Canto do Sabiá,310620060690285,173,3,23,29,37,32,30,14,5,310620060690285,3,40,41,9,8,1,0,0,0,45,173,0.0,0.0,0.0,0.0
Vila Cemig,2174340179271956,5668,78,872,1169,1088,940,637,457,427,2174340179271956,128,1530,1071,148,51,9,1,0,0,1780,5668,1.0,0.0,5.0,0.0
Vila Cloris,3416820667261752,7157,79,734,1063,1238,1311,1159,741,832,3416820667261752,102,970,1441,676,715,547,70,45,17,1761,7157,6.0,1.0,196.0,99.0
Vila Copacabana,310620060690260,1348,16,214,311,272,211,146,115,63,310620060690260,26,375,215,35,15,5,0,0,0,447,1348,0.0,0.0,0.0,0.0
Vila Copasa,310620025610298,321,2,45,56,53,63,49,28,25,310620025610298,4,83,64,18,4,1,0,0,0,100,321,0.0,0.0,0.0,0.0
Vila Coqueiral,1553100028251707,1533,18,240,315,274,256,153,145,132,1553100028251707,66,450,269,39,16,5,0,0,0,430,1533,0.0,0.0,2.0,0.0
Vila Ecológica,310620025610037,1704,38,371,375,312,297,157,91,63,310620025610037,83,368,266,22,10,2,0,0,0,544,1704,0.0,0.0,0.0,0.0
Vila Engenho Nogueira,621240011360404,263,4,41,60,48,42,29,19,20,621240011360404,1,67,59,19,0,0,1,0,0,71,263,0.0,0.0,0.0,0.0
Vila Esplanada,310620060640196,990,21,126,188,184,160,140,99,72,310620060640196,22,179,197,50,36,17,9,5,3,325,990,0.0,0.0,1.0,0.0
Vila Formosa,621240051220344,1444,16,223,297,302,231,197,119,59,621240051220344,25,314,300,42,16,1,0,0,0,507,1444,0.0,0.0,3.0,1.0
Vila Fumec,310620005620488,72,2,8,11,10,11,12,8,10,310620005620488,1,20,17,2,2,2,0,1,0,17,72,0.0,0.0,0.0,0.0
Vila Havaí,310620005670333,347,10,55,78,76,44,41,26,17,310620005670333,9,93,66,6,2,1,0,0,0,105,347,0.0,0.0,0.0,0.0
Vila Independencia 1ª Seção,1242480102440853,3023,53,426,562,573,475,372,315,247,1242480102440853,78,765,629,113,45,8,0,0,0,906,3023,0.0,0.0,1.0,0.0
Vila Independencia 2ª Seção,621240051220653,980,22,170,193,188,164,113,76,54,621240051220653,19,250,183,31,13,2,0,0,1,289,980,0.0,0.0,0.0,0.0
Vila Independencia 3ª Seção,310620025610357,368,3,64,72,64,66,44,22,33,310620025610357,19,88,62,10,10,1,0,0,0,111,368,0.0,0.0,0.0,0.0
Vila Inestan,310620005640178,701,5,105,169,142,107,94,38,41,310620005640178,18,177,122,12,3,5,0,0,0,254,701,0.0,0.0,0.0,0.0
Vila Ipiranga,310620005640182,187,3,22,33,43,26,20,21,19,310620005640182,1,42,63,6,3,1,0,0,0,46,187,0.0,0.0,2.0,0.0
Vila Jardim Alvorada,2174340039582677,2776,41,384,520,537,455,365,236,238,2174340039582677,73,735,590,108,45,23,3,3,0,771,2776,0.0,0.0,1.0,0.0
Vila Jardim Leblon,310620060690301,225,3,32,43,48,38,27,19,15,310620060690301,6,61,47,7,2,0,0,0,0,67,225,0.0,0.0,0.0,0.0
Vila Jardim Montanhes,621240011301122,259,2,42,64,35,50,28,17,21,621240011301122,6,78,46,12,5,1,0,0,0,67,259,1.0,1.0,0.0,0.0
Vila Jardim São José,2174340039552013,1698,18,254,358,337,259,191,138,143,2174340039552013,61,472,304,73,30,15,3,2,0,466,1698,2.0,0.0,2.0,0.0
Vila Madre Gertrudes 1ª Seção,1242480022681526,1930,24,236,357,391,297,253,193,179,1242480022681526,34,515,459,69,33,13,1,1,0,545,1930,1.0,0.0,2.0,0.0
Vila Madre Gertrudes 2ª Seção,621240011340934,666,10,107,154,115,114,76,42,48,621240011340934,24,221,69,10,5,1,0,0,0,219,666,0.0,0.0,0.0,0.0
Vila Madre Gertrudes 3ª Seção,310620025670002,421,8,53,91,88,66,54,27,34,310620025670002,14,113,92,15,5,2,0,1,0,118,421,0.0,0.0,0.0,1.0
Vila Madre Gertrudes 4ª Seção,310620025670001,201,0,29,42,35,36,32,12,15,310620025670001,4,63,28,12,1,1,0,0,0,63,201,0.0,0.0,1.0,0.0
Vila Maloca,310620005650332,663,13,107,152,136,85,74,60,36,310620005650332,34,197,108,16,3,3,0,0,0,182,663,0.0,0.0,0.0,0.0
Vila Mangueiras,931860076830764,1903,21,258,388,385,273,239,200,139,931860076830764,58,512,316,75,23,6,1,0,0,633,1903,1.0,0.0,2.0,0.0
Vila Mantiqueira,621240121380598,711,15,97,118,141,138,80,62,60,621240121380598,12,181,188,19,10,6,0,1,0,182,711,0.0,0.0,0.0,0.0
Vila Maria,2174340424480448,5308,95,836,1005,1091,883,550,459,389,2174340424480448,143,1535,995,140,51,12,0,3,0,1498,5308,1.0,0.0,12.0,0.0
Vila Minaslandia,621240121320384,856,6,100,158,125,155,120,89,103,621240121320384,16,293,166,18,10,4,0,0,0,243,856,0.0,0.0,0.0,0.0
Vila Nossa Senhora do Rosário,310620005630003,673,3,71,126,110,114,104,61,84,310620005630003,14,181,131,36,25,15,0,1,0,196,673,0.0,0.0,1.0,0.0
Vila Nova,310620060660171,591,7,92,124,114,116,70,39,29,310620060660171,14,195,88,10,7,3,0,0,0,175,591,0.0,0.0,0.0,0.0
Vila Nova Cachoeirinha 1ª Seção,931860016951002,2273,38,338,441,437,349,270,201,199,931860016951002,114,689,399,67,26,9,0,0,0,593,2273,0.0,0.0,0.0,0.0
Vila Nova Cachoeirinha 2ª Seção,310620005650556,145,1,19,27,24,29,13,19,13,310620005650556,5,33,27,10,6,0,0,0,0,44,145,0.0,0.0,0.0,1.0
Vila Nova Cachoeirinha 3ª Seção,310620005640083,698,6,97,146,122,116,84,78,49,310620005640083,21,174,151,29,11,6,1,1,0,201,698,0.0,0.0,0.0,0.0
Vila Nova Gameleira 1ª Seção,621240011340652,819,14,112,111,193,125,104,97,63,621240011340652,14,165,212,41,15,6,0,0,0,240,819,0.0,0.0,2.0,0.0
Vila Nova Gameleira 2ª Seção,621240011340821,1399,23,167,222,315,184,232,139,117,621240011340821,12,363,300,86,65,29,6,1,0,347,1399,0.0,0.0,4.0,3.0
Vila Nova Gameleira 3ª Seção,310620005670493,95,1,8,13,15,14,13,12,19,310620005670493,1,16,22,7,4,3,1,1,0,31,95,0.0,0.0,0.0,1.0
Vila Nova Paraíso,310620005670396,704,11,112,154,149,99,91,54,34,310620005670396,9,242,118,9,3,1,0,0,0,199,704,1.0,0.0,0.0,0.0
Vila Nova dos Milionarios,310620025610194,587,11,88,96,114,103,55,60,60,310620025610194,18,168,138,16,7,1,0,0,0,140,587,0.0,0.0,0.0,0.0
Vila Novo São Lucas,1863720033782266,3677,39,476,815,871,590,445,242,199,1863720033782266,70,1251,724,84,28,10,1,0,0,994,3677,0.0,0.0,9.0,0.0
Vila Oeste,931860016951472,1339,16,141,218,235,210,189,163,167,931860016951472,32,327,316,76,45,24,4,1,1,356,1339,0.0,0.0,1.0,0.0
Vila Olhos D'Água,310620025610402,892,21,132,189,170,179,82,51,68,310620025610402,8,247,171,26,11,2,0,0,0,274,892,0.0,0.0,1.0,0.0
Vila Ouro Minas,310620060640180,588,18,116,104,126,124,64,24,12,310620060640180,35,109,140,15,13,2,0,0,0,140,588,0.0,0.0,0.0,0.0
Vila Paquetá,310620005680017,703,14,140,154,140,113,64,46,32,310620005680017,44,165,143,26,9,0,0,0,0,162,703,0.0,0.0,0.0,0.0
Vila Paraíso,310620005630352,414,1,38,72,90,76,59,37,41,310620005630352,8,162,60,4,9,3,0,0,0,129,414,0.0,0.0,1.0,0.0
Vila Paris,2174340039342750,3560,25,188,351,680,525,422,568,801,2174340039342750,4,116,224,212,360,654,245,268,283,981,3560,0.0,0.0,146.0,22.0
Vila Petropolis,310620025610338,298,6,66,49,49,62,34,24,8,310620025610338,0,61,67,11,0,0,0,0,0,87,298,0.0,0.0,0.0,0.0
Vila Pilar,310620025610332,910,13,106,210,185,168,126,66,36,310620025610332,6,199,257,20,2,0,0,0,0,307,910,0.0,0.0,0.0,0.0
Vila Pinho,3416820281711783,8225,138,1103,1538,1697,1397,909,840,603,3416820281711783,196,2141,1740,269,65,13,2,1,0,2557,8225,0.0,0.0,18.0,0.0
Vila Piratininga,621240051220569,1693,25,253,346,347,263,193,153,113,621240051220569,45,389,339,48,21,6,0,0,0,567,1693,1.0,0.0,1.0,0.0
Vila Piratininga Venda Nova,310620060690305,366,7,54,70,79,59,36,28,33,310620060690305,13,111,55,8,3,0,0,0,0,115,366,0.0,0.0,0.0,0.0
Vila Primeiro de Maio,1553100303300689,4025,45,505,749,725,572,592,430,407,1553100303300689,53,1282,639,133,49,26,0,0,0,1293,4025,0.0,0.0,4.0,1.0
Vila Puc,310620005650429,89,1,8,9,28,14,14,7,8,310620005650429,0,16,22,8,6,4,1,0,0,23,89,0.0,0.0,0.0,0.0
Vila Real 1ª Seção,310620005680130,109,3,18,32,15,20,7,9,5,310620005680130,3,28,16,0,1,0,0,0,0,40,109,0.0,0.0,0.0,0.0
Vila Real 2ª Seção,310620005680129,683,18,120,131,139,135,72,44,24,310620005680129,32,235,13,3,3,0,0,0,0,259,683,0.0,0.0,1.0,0.0
Vila Rica,310620005680048,200,0,9,29,24,21,35,29,53,310620005680048,0,12,26,18,27,28,8,6,2,64,200,1.0,0.0,5.0,3.0
Vila Santa Monica 1ª Seção,931860182070707,1789,29,274,347,358,285,187,162,147,931860182070707,63,519,290,61,14,4,1,0,0,534,1789,0.0,0.0,2.0,0.0
Vila Santa Monica 2ª Seção,310620060690306,343,12,50,69,66,70,34,32,10,310620060690306,8,73,72,9,2,1,0,0,0,116,343,0.0,0.0,0.0,0.0
Vila Santa Rosa,621240011360389,1391,21,224,302,264,218,164,99,99,621240011360389,36,460,211,21,5,0,0,0,0,413,1391,0.0,0.0,0.0,0.0
Vila Santo Antônio,310620005680194,335,4,48,61,66,51,49,38,18,310620005680194,5,97,71,8,4,3,0,0,0,95,335,0.0,0.0,0.0,0.0
Vila Santo Antônio Barroquinha,310620005650266,667,8,76,122,132,97,92,82,58,310620005650266,14,183,145,43,14,12,1,1,0,170,667,0.0,0.0,0.0,0.0
Vila Satélite,310620060690395,128,1,26,16,29,12,15,17,12,310620060690395,4,25,29,8,4,1,0,0,0,30,128,0.0,0.0,0.0,0.0
Vila Sesc,310620060690261,343,3,45,49,70,61,42,27,46,310620060690261,1,103,61,15,1,1,1,0,0,112,343,0.0,0.0,0.0,0.0
Vila Sumaré,1242480022601286,2987,47,464,622,553,459,357,253,232,1242480022601286,51,770,522,79,25,8,0,0,0,1021,2987,0.0,0.0,1.0,0.0
Vila Suzana Primeira Seção,310620005680117,646,7,82,120,109,105,94,67,62,310620005680117,9,127,139,38,31,17,0,1,0,195,646,0.0,0.0,2.0,2.0
Vila Suzana Segunda Seção,310620005680257,60,2,15,11,11,10,2,1,8,310620005680257,0,12,7,4,0,0,0,0,0,20,60,0.0,0.0,0.0,0.0
Vila São Dimas,310620060640210,194,6,29,51,36,21,26,15,10,310620060640210,4,55,19,3,0,1,0,0,0,77,194,0.0,0.0,0.0,0.0
Vila São Francisco,310620005680263,69,0,12,8,9,11,15,9,5,310620005680263,0,19,18,4,4,0,0,0,0,12,69,0.0,0.0,0.0,0.0
Vila São Gabriel,310620060640068,420,3,86,83,75,70,46,34,23,310620060640068,30,101,66,9,3,0,0,0,0,122,420,0.0,0.0,1.0,0.0
Vila São Gabriel Jacui,310620060640211,699,16,120,115,130,108,79,75,56,310620060640211,15,192,107,23,6,5,1,0,0,214,699,0.0,0.0,0.0,0.0
Vila São Geraldo,310620005630358,182,2,31,35,33,31,19,16,15,310620005630358,0,46,27,3,2,1,0,1,0,69,182,0.0,0.0,2.0,0.0
Vila São João Batista,931860182070414,2486,41,348,475,536,456,282,189,159,931860182070414,37,639,473,75,18,7,0,0,0,848,2486,1.0,0.0,0.0,0.0
Vila São Paulo,931860071920671,1898,22,220,263,354,285,290,222,242,931860071920671,45,459,471,115,60,20,1,1,0,484,1898,0.0,0.0,2.0,0.0
Vila São Rafael,621240011260657,1190,6,160,184,248,219,139,120,114,621240011260657,16,300,362,22,6,5,2,0,0,311,1190,0.0,0.0,6.0,0.0
Vila Tirol,310620025610375,208,1,22,32,33,39,26,25,30,310620025610375,3,54,56,6,3,0,0,0,0,63,208,0.0,0.0,0.0,0.0
Vila Trinta e Um de Março,931860016950162,1525,16,177,244,256,212,228,173,219,931860016950162,23,437,308,59,42,8,1,0,0,454,1525,1.0,0.0,2.0,0.0
Vila União,310620005630140,760,15,102,147,169,124,78,66,59,310620005630140,9,230,164,22,17,6,0,0,1,194,760,2.0,0.0,3.0,0.0
Vila Vista Alegre,4348680079381750,11413,144,1438,1949,2049,1843,1559,1159,1272,4348680079381750,293,3030,2564,531,246,71,6,4,7,3079,11413,1.0,0.0,14.0,3.0
Vila da Amizade,310620005670472,402,8,65,97,71,60,59,29,13,310620005670472,12,95,70,8,10,1,0,0,0,133,402,0.0,0.0,0.0,0.0
Vila da Luz,310620060640027,1491,35,314,320,306,196,169,101,50,310620060640027,82,369,198,21,7,1,0,0,0,464,1491,0.0,0.0,0.0,0.0
Vila da Paz,310620005640058,534,5,55,93,84,79,86,61,71,310620005640058,27,130,124,36,17,3,1,0,1,135,534,0.0,0.0,0.0,0.0
Vila da Ária,310620005630393,337,5,70,74,60,61,27,26,14,310620005630393,17,81,52,7,0,1,0,0,0,104,337,0.0,0.0,0.0,0.0
Vila das Oliveiras,310620005650483,241,1,21,34,43,30,37,46,29,310620005650483,10,53,70,25,10,4,0,0,0,47,241,0.0,0.0,1.0,0.0
Vila de Sá,310620005640228,971,14,145,194,238,130,130,71,49,310620005640228,27,292,178,31,15,0,0,0,0,269,971,0.0,0.0,0.0,0.0
Vila do Pombal,310620005640206,142,1,19,37,17,17,21,21,9,310620005640206,4,33,26,4,3,2,1,0,0,49,142,0.0,0.0,0.0,0.0
Vila dos Anjos,310620060690173,808,7,116,185,157,119,86,75,63,310620060690173,19,226,113,17,6,3,0,0,0,301,808,0.0,0.0,0.0,0.0
Virgínia,310620005670222,861,7,135,173,159,130,114,78,65,310620005670222,26,216,188,31,16,4,0,0,0,238,861,0.0,0.0,0.0,0.0
Vista Alegre,3416820062372855,5160,69,634,848,911,864,718,547,569,3416820062372855,84,1009,1207,347,202,127,24,4,1,1452,5160,0.0,0.0,40.0,10.0
Vista do Sol,1863720363840287,5121,72,651,1002,1100,761,802,459,274,1863720363840287,148,1027,1275,307,125,39,2,1,0,1474,5121,0.0,0.0,2.0,1.0
Vitoria,2484960485121682,3435,65,507,484,628,841,476,232,129,2484960485121682,11,496,872,312,193,74,8,6,0,818,3435,2.0,0.0,11.0,6.0
Vitoria da Conquista,621240051220674,1184,25,211,268,211,199,144,86,40,621240051220674,21,297,210,27,5,3,0,0,0,385,1184,0.0,0.0,1.0,0.0
Xangri-lá,310620005680232,8,0,0,0,0,0,0,0,0,310620005680232,0,0,0,0,0,0,0,0,0,0,8,1.0,0.0,0.0,0.0
Xodo-Marize,1242480242640973,1499,24,215,277,302,240,233,108,100,1242480242640973,57,333,301,84,40,13,5,2,2,423,1499,1.0,0.0,4.0,6.0
Zilah Sposito,931860181980667,2638,41,448,665,516,386,299,187,96,931860181980667,135,675,411,62,26,2,0,0,0,838,2638,0.0,0.0,1.0,0.0
das Industrias I,4659300384153373,9182,100,1097,1314,1620,1545,1391,897,1218,4659300384153373,127,1956,2122,760,453,247,34,16,2,2268,9182,4.0,0.0,93.0,56.0
Álvaro Camargos,931860016950862,1080,9,108,139,204,158,186,142,134,931860016950862,5,98,142,79,99,129,29,16,11,355,1080,0.0,0.0,20.0,10.0
Ápia,310620005620478,405,7,56,79,86,60,47,45,25,310620005620478,8,133,106,16,3,3,0,0,2,71,405,0.0,0.0,1.0,0.0
